Location;Koppen climate classification desc;Koppen climate classification
Albury;humid subtropical climate;cfa
BadgerysCreek;humid subtropical climate;cfa
Cobar;semi-arid climate;bsk
CoffsHarbour;humid subtropical climate;cfa
Moree;humid subtropical climate;cfa
Newcastle;humid subtropical climate;cfa
NorahHead;humid subtropical climate;cfa
NorfolkIsland;marine subtropical climate;cfa
Penrith;humid subtropical climate;cfa
Richmond;humid subtropical climate;cfa
Sydney;humid subtropical climate;cfa
SydneyAirport;humid subtropical climate;cfa
WaggaWagga;humid subtropical climate;cfa
Williamtown;humid subtropical climate;cfa
Wollongong;oceanic subtropical climate;cfb
Canberra;oceanic subtropical climate;cfb
Tuggeranong;oceanic subtropical climate;cfb
MountGinini;oceanic subtropical climate;cfb
Ballarat;oceanic subtropical climate;cfb
Bendigo;semi-arid transitional;bsk
Sale;oceanic subtropical climate;cfb
MelbourneAirport;oceanic subtropical climate;cfb
Melbourne;oceanic subtropical climate;cfb
Mildura;semi-arid transitional;bsk
Nhill;semi-arid transitional;bsk
Portland;warm-summer mediterranean;csb
Watsonia;oceanic subtropical climate;cfb
Dartmoor;warm-summer mediterranean;csb
Brisbane;humid subtropical climate;cfa
Cairns;tropical monsoon climate;aw
GoldCoast;humid subtropical climate;cfa
Townsville;tropical savanna climate;aw
Adelaide;Mediterranean climate;csa
MountGambier;warm-summer mediterranean;csb
Nuriootpa;semi-arid transitional;bsk
Woomera;semi-arid transitional;bsk
Albany;warm-summer mediterranean;csb
Witchcliffe;warm-summer mediterranean;csb
PearceRAAF;humid subtropical climate;cfa
PerthAirport;hot-summer Mediterranean climate;csa
Perth;hot-summer Mediterranean climate;csa
SalmonGums;semi-arid transitional;bsk
Walpole;warm-summer mediterranean;csb
Hobart;oceanic subtropical climate;cfb
Launceston;oceanic subtropical climate;cfb
AliceSprings;hot desert;bwh
Darwin;tropical savanna climate;aw
Katherine;tropical savanna climate;aw
Uluru;hot desert;bwh
